DisplayName;ServiceName;StartType;ServiceType;Description
Descoberta SSDP;SSDPSRV;Manual;Win32OwnProcess, Win32ShareProcess;"Descobre dispositivos e serviços de rede que usam o protocolo de descoberta SSDP, como dispositivos UPnP. Também anuncia dispositivos e serviços SSDP em execução no computador local. Se esse serviço for interrompido, os dispositivos baseados em SSDP não serão descobertos. Se esse serviço for desabilitado, os serviços que dependerem dele explicitamente não serão iniciados."
Detecção do hardware do shell;ShellHWDetection;Automatic;Win32OwnProcess, Win32ShareProcess;"Fornece notificações de eventos de hardware de Reprodução Automática."
DeviceAssociationBroker_1c1eca42;DeviceAssociationBrokerSvc_1c1eca42;Manual;224;"Enables apps to pair devices"
DevicePicker_1c1eca42;DevicePickerUserSvc_1c1eca42;Manual;224;"Este serviço de usuário é usado para gerenciar a interface do usuário do Miracast, DLNA e DIAL"
DevicesFlow_1c1eca42;DevicesFlowUserSvc_1c1eca42;Manual;224;"Permite configurações de ConnectUX e PC para conectar e emparelhar com monitores WiFi e dispositivos Bluetooth."
Diagnostic Execution Service;diagsvc;Manual;Win32ShareProcess;"Executes diagnostic actions for troubleshooting support"
Disco Virtual;vds;Manual;Win32OwnProcess;"Fornece serviços de gerenciamento para discos, volumes, sistemas de arquivos e matrizes de armazenamento."
EasyAntiCheat;EasyAntiCheat;Manual;Win32OwnProcess;"Provides integrated security and services for online multiplayer games."
EFS (Encrypting File System);EFS;Manual;Win32ShareProcess;"Fornece a tecnologia básica de criptografia de arquivos usada para armazenar arquivos criptografados em volumes do sistema de arquivos NTFS. Se esse serviço for interrompido ou desabilitado, os aplicativos não poderão acessar arquivos criptografados."
Estação de trabalho;LanmanWorkstation;Automatic;Win32OwnProcess, Win32ShareProcess;"Cria e mantém conexões de rede cliente com servidores remotos usando o protocolo SMB. Se o serviço for interrompido, as conexões ficarão indisponíveis. Se for desabilitado, todos os serviços que dependem diretamente dele não serão inicializados."
Eventos de Aquisição de Imagens Estáticas;WiaRpc;Manual;Win32ShareProcess;"Inicia aplicativos associados a eventos de aquisição de imagens estáticas."
Exibir Serviço de Política;DispBrokerDesktopSvc;Automatic;Win32OwnProcess, Win32ShareProcess;"Gerencia a conexão e a configuração de telas locais e remotas"
Experiências do Usuário Conectado e Telemetria;DiagTrack;Disabled;Win32OwnProcess;"O serviço Experiências do Usuário Conectado e Telemetria habilita recursos que dão suporte a experiências de usuários conectados e no aplicativo. Além disso, esse serviço gerencia a coleção de dados controlada por eventos e a transmissão de informações de uso e diagnóstico (usadas para melhorar a experiência e a qualidade da Plataforma Windows) quando as configurações da opção de privacidade de uso e diagnóstico estiverem habilitadas em Comentários e Diagnóstico."
Extensões e Notificações da Impressora;PrintNotify;Disabled;Win32ShareProcess, InteractiveProcess;"Este serviço abre caixas de diálogos personalizadas da impressora e identifica as notificações de um servidor de impressão ou de uma impressora remota. Se você desligar este serviço, não será capaz de ver as extensões ou notificações da impressora."
Fax;Fax;Disabled;Win32OwnProcess;"Permite enviar e receber fax, usando recursos de fax disponíveis no computador ou na rede."
Gerenciador de Autenticação Xbox Live;XblAuthManager;Disabled;Win32ShareProcess;"Fornece serviços de autenticação e autorização para interagir com o Xbox Live. Algumas aplicações podem não funcionar corretamente se esse serviço for interrompido."
Gerenciador de conexão de acesso remoto automático;RasAuto;Manual;Win32ShareProcess;"Cria uma conexão com uma rede remota sempre que um programa faz referência a um endereço ou nome DNS ou NetBIOS remoto."
Gerenciador de conexão de acesso remoto;RasMan;Automatic;Win32ShareProcess;"Gerencia conexões de rede dial-up e virtual privada (VPN) a partir deste computador com a Internet ou outras redes remotas. Se este serviço estiver desabilitado, todos os serviços que dependerem explicitamente dele não serão iniciados."
Gerenciador de Conexões do Windows;Wcmsvc;Automatic;Win32OwnProcess;"Toma decisões de conexão/desconexão automática com base nas opções de conectividade disponíveis no momento para o PC e permite o gerenciamento da conectividade de rede com base nas configurações da Política de Grupo."
Gerenciador de Conta da Web;TokenBroker;Manual;Win32OwnProcess, Win32ShareProcess;"Este serviço é usado pelo Gerenciador de Conta da Web para fornecer logon único a apps e serviços."
Gerenciador de Credenciais;VaultSvc;Manual;Win32ShareProcess;"Fornece armazenamento de segurança e recuperação de credenciais a usuários, aplicativos e pacotes de serviço de segurança."
